age,income,score,category,region,target
31.0,31335.0,-139.75,A,East,0
,,166.96,,North,1
43.0,81058.0,-14.09,B,West,1
31.0,30464.0,-91.16,A,East,0
46.0,85947.0,175.36,A,South,1
42.0,85697.0,-43.38,B,South,1
46.0,68768.0,91.39,A,West,1
29.0,29317.0,-178.45,B,North,0
47.0,70916.0,22.74,B,South,0
50.0,97855.0,85.84,A,East,1
46.0,87493.0,36.07,B,East,1
46.0,78890.0,172.39,B,North,1
31.0,29535.0,-93.92,C,North,0
,,64.98,,North,0
53.0,103620.0,139.36,C,East,1
50.0,70137.0,137.97,A,East,1
47.0,67968.0,164.54,A,West,0
,,9.48,,East,1
32.0,31441.0,-117.2,C,East,0
38.0,50465.0,-62.73,C,South,0
39.0,44745.0,86.74,C,West,0
35.0,47160.0,-228.12,B,North,0
42.0,61631.0,-71.9,C,North,0
45.0,71888.0,68.57,A,South,1
,,159.64,,West,1
46.0,85653.0,36.13,C,South,1
41.0,52240.0,58.67,A,West,0
,,83.65,,East,1
47.0,81974.0,227.52,C,West,1
44.0,79081.0,130.48,A,South,1
45.0,75292.0,241.54,B,East,1
,,93.05,,West,0
47.0,73257.0,90.0,C,East,1
44.0,72175.0,143.88,B,East,1
51.0,99478.0,108.11,A,West,1
39.0,42254.0,101.93,B,West,0
46.0,75547.0,114.73,B,South,1
18.0,20000.0,-357.57,C,West,0
42.0,64980.0,-8.38,A,South,0
45.0,65434.0,130.79,A,South,1
44.0,60374.0,104.99,A,North,1
28.0,20000.0,-30.8,A,North,0
,,0.44,,North,1
43.0,52893.0,149.1,A,East,0
39.0,35424.0,143.64,B,South,0
45.0,67336.0,-49.97,B,West,0
29.0,29537.0,-215.44,A,East,0
48.0,57104.0,271.39,C,West,0
44.0,64055.0,75.11,C,East,0
41.0,83434.0,-173.21,A,South,1
44.0,56601.0,112.15,C,East,1
46.0,71804.0,210.48,B,West,1
53.0,96471.0,159.57,C,East,1
49.0,79371.0,-23.89,A,North,0
45.0,77965.0,139.54,C,South,1
44.0,79503.0,70.95,B,West,1
,,6.49,,North,1
49.0,71537.0,134.31,B,East,1
43.0,45675.0,193.85,B,West,0
50.0,92554.0,124.58,C,South,1
48.0,68677.0,153.18,C,South,1
49.0,81813.0,-35.78,B,East,0
28.0,25292.0,-171.39,A,North,0
44.0,54974.0,78.38,C,South,1
33.0,31862.0,-45.64,C,South,0
,,62.2,,West,1
43.0,82834.0,12.4,B,South,1
36.0,39539.0,-20.1,A,South,0
44.0,74752.0,97.84,B,North,1
45.0,80548.0,49.4,C,South,1
46.0,54488.0,233.92,A,West,0
43.0,63748.0,27.07,C,North,1
46.0,60807.0,162.92,C,West,0
47.0,78149.0,341.33,A,South,1
44.0,64152.0,-6.52,B,North,0
44.0,56868.0,53.91,C,North,1
44.0,84178.0,-1.64,B,North,1
44.0,71198.0,41.6,B,North,1
43.0,91030.0,-59.59,A,South,1
35.0,20000.0,155.76,A,East,0
45.0,80044.0,46.61,C,East,1
45.0,73222.0,127.29,A,North,1
44.0,61615.0,101.24,B,South,0
40.0,46727.0,85.55,B,West,0
38.0,37796.0,79.1,B,West,0
58.0,109379.0,245.53,A,South,1
41.0,55419.0,-7.79,A,East,0
32.0,33255.0,-120.59,A,West,0
44.0,52729.0,180.92,C,West,0
42.0,81806.0,16.92,B,East,1
44.0,66031.0,102.71,C,East,1
44.0,78008.0,129.28,C,West,1
45.0,77225.0,42.06,B,West,1
43.0,62155.0,33.35,B,South,1
43.0,76322.0,36.77,C,West,1
36.0,41979.0,-76.3,A,North,0
46.0,84182.0,167.55,C,East,1
54.0,100963.0,177.37,A,North,1
35.0,26645.0,60.39,B,South,0
45.0,54382.0,228.09,C,South,1
38.0,30249.0,128.76,C,South,0
45.0,82839.0,157.32,B,North,1
43.0,87824.0,-4.17,A,North,1
42.0,84553.0,-107.06,A,South,1
26.0,25164.0,-362.2,B,South,0
32.0,35477.0,-157.99,A,South,0
42.0,77497.0,-94.7,A,East,1
42.0,45576.0,170.68,B,East,0
37.0,47003.0,-92.65,A,West,0
43.0,78126.0,-46.81,A,North,1
41.0,75836.0,-50.24,A,South,1
43.0,72516.0,-35.09,B,North,0
30.0,32471.0,-238.53,B,South,0
44.0,71935.0,91.09,C,East,1
34.0,39803.0,-81.88,B,North,0
46.0,85315.0,160.24,C,West,1
35.0,41375.0,-81.17,A,South,0
41.0,64402.0,-1.07,B,North,1
43.0,80750.0,-50.85,A,West,1
43.0,65858.0,47.93,B,South,1
46.0,89685.0,169.6,B,South,1
44.0,61406.0,154.98,C,East,1
41.0,59117.0,3.41,C,South,0
46.0,74755.0,277.14,B,South,1
47.0,78254.0,90.26,B,East,1
42.0,40363.0,182.73,A,North,0
30.0,20000.0,24.08,A,West,0
53.0,117217.0,115.95,A,North,1
44.0,76012.0,78.0,A,South,1
49.0,80254.0,118.23,A,South,1
35.0,41352.0,-118.28,C,East,0
43.0,66370.0,44.91,B,West,1
45.0,94241.0,164.01,C,North,1
31.0,24944.0,14.54,C,East,0
33.0,36266.0,-92.32,A,West,0
49.0,76857.0,129.4,C,South,1
35.0,35609.0,22.46,C,East,0
46.0,89082.0,62.97,C,North,1
35.0,20000.0,187.05,A,North,0
44.0,55647.0,139.87,B,North,0
48.0,99634.0,51.78,C,East,1
33.0,23212.0,10.38,A,East,0
45.0,68324.0,59.1,C,East,1
46.0,68860.0,251.7,C,West,1
45.0,87863.0,125.41,C,North,1
49.0,65012.0,248.59,A,East,0
46.0,78044.0,245.11,C,West,1
35.0,21601.0,117.72,C,West,0
49.0,67883.0,236.65,A,West,0
46.0,69516.0,2.82,B,South,0
46.0,64820.0,94.7,A,East,1
50.0,68379.0,236.33,C,South,0
28.0,20000.0,-85.54,A,East,0
46.0,57264.0,190.59,A,East,0
39.0,42133.0,77.85,C,East,0
34.0,44372.0,-239.98,A,South,0
43.0,87033.0,12.82,A,West,1
47.0,65792.0,229.76,C,South,0
24.0,20000.0,-240.46,C,North,0
50.0,95411.0,99.63,A,North,1
43.0,96504.0,-47.81,B,East,1
40.0,38909.0,141.12,A,South,0
43.0,58095.0,123.77,C,East,0
39.0,48074.0,37.21,C,East,0
43.0,69606.0,118.69,B,West,1
,,282.88,,East,1
42.0,83919.0,-23.54,A,West,1
39.0,53055.0,-87.17,A,North,0
51.0,84869.0,146.81,C,East,1
44.0,94191.0,43.02,C,North,1
33.0,20000.0,44.83,A,South,0
40.0,39841.0,132.02,B,South,0
51.0,87169.0,144.74,A,East,1
44.0,64163.0,141.17,C,East,1
46.0,61491.0,183.65,B,West,0
45.0,63452.0,238.31,A,North,1
50.0,98847.0,92.36,B,South,1
49.0,85760.0,120.08,A,East,1
48.0,80545.0,71.42,C,North,1
46.0,80306.0,62.14,B,West,1
45.0,96444.0,97.67,C,East,1
44.0,64143.0,23.16,B,East,1
39.0,49521.0,-24.73,A,North,0
48.0,66885.0,107.07,B,South,1
44.0,65263.0,51.2,B,South,0
,,60.32,,East,1
41.0,53522.0,24.85,C,East,0
44.0,88808.0,115.94,A,North,1
31.0,30177.0,-145.57,A,East,0
37.0,36260.0,55.71,B,South,0
41.0,100023.0,-220.67,B,South,1
47.0,67674.0,133.73,B,South,0
42.0,78486.0,-68.93,A,East,1
38.0,51707.0,-53.42,B,West,0
42.0,69899.0,13.49,C,North,1
50.0,84901.0,121.03,C,East,1
44.0,65995.0,112.06,C,North,1
,,-1.78,,North,1
46.0,87632.0,181.69,B,East,1
53.0,108324.0,129.66,C,East,1
41.0,75380.0,-110.13,C,North,1
47.0,56988.0,384.12,A,East,1
42.0,48507.0,140.33,B,West,0
46.0,83600.0,116.77,B,North,1
34.0,34515.0,-19.69,B,East,0
43.0,60273.0,75.22,A,West,0
45.0,56211.0,179.76,C,South,1
49.0,78277.0,0.44,B,South,0
54.0,95415.0,187.41,A,West,1
45.0,80421.0,23.5,A,West,1
44.0,89984.0,0.42,C,East,1
45.0,56278.0,157.84,B,East,0
38.0,47959.0,-69.58,C,East,0
55.0,90966.0,213.71,A,West,1
41.0,55332.0,-19.93,B,North,0
31.0,27123.0,-55.65,A,West,0
46.0,62529.0,142.28,B,South,0
45.0,85068.0,152.77,B,East,1
18.0,20000.0,-305.05,B,East,0
45.0,93567.0,58.87,C,North,1
41.0,82138.0,-91.51,A,West,1
46.0,71392.0,220.48,C,South,1
40.0,56492.0,18.38,C,South,0
30.0,31279.0,-205.17,B,South,0
41.0,31379.0,224.1,B,West,0
44.0,81121.0,-28.29,A,East,1
48.0,64217.0,131.2,A,North,1
38.0,32981.0,121.56,B,East,0
38.0,34966.0,110.18,C,East,0
45.0,60640.0,132.33,A,South,0
34.0,35914.0,-72.33,A,East,0
46.0,81218.0,73.62,A,West,1
45.0,82714.0,49.86,B,North,1
30.0,20000.0,26.05,C,South,0
43.0,75036.0,88.26,A,East,1
40.0,80666.0,-170.23,C,East,1
40.0,31580.0,194.06,C,South,0
46.0,86620.0,53.27,C,South,1
42.0,55880.0,20.6,A,North,0
50.0,85730.0,97.58,A,North,1
37.0,50074.0,-24.5,B,North,1
,,-10.38,,North,1
33.0,39042.0,-149.19,C,East,0
38.0,32185.0,136.95,B,South,0
38.0,45530.0,11.37,A,North,0
52.0,94480.0,141.55,C,North,1
41.0,53984.0,68.82,C,North,0
34.0,37622.0,-109.94,C,North,0
33.0,38744.0,-197.32,C,West,0
31.0,24688.0,-44.23,A,West,0
41.0,58465.0,-22.87,C,West,0
46.0,80995.0,145.85,A,South,1
34.0,38688.0,-162.95,B,North,0
48.0,80692.0,318.25,A,North,1
44.0,51862.0,193.61,B,South,0
44.0,58320.0,64.63,A,South,1
39.0,34399.0,149.75,C,East,0
43.0,61190.0,174.36,C,West,1
35.0,42774.0,-142.45,A,South,0
49.0,76420.0,101.93,A,South,1
51.0,79479.0,177.29,B,East,1
42.0,47091.0,137.19,C,South,0
44.0,70673.0,55.56,A,West,1
30.0,25773.0,-114.85,A,West,0
40.0,54951.0,-32.77,B,East,0
47.0,77732.0,173.2,B,North,1
43.0,60694.0,-27.39,B,North,0
44.0,81016.0,102.92,B,South,1
,,-53.92,,South,1
38.0,24812.0,185.45,B,South,0
43.0,60362.0,72.78,C,South,0
21.0,20000.0,-233.67,C,South,0
44.0,45605.0,235.34,A,South,0
25.0,21043.0,-318.29,B,West,0
44.0,55080.0,162.45,B,North,0
46.0,69100.0,295.03,A,South,1
42.0,63993.0,28.15,A,West,1
43.0,66256.0,31.56,C,West,1
55.0,88621.0,222.17,A,West,1
46.0,70054.0,168.94,A,East,1
39.0,49637.0,16.59,A,North,0
40.0,70089.0,-42.85,B,East,1
41.0,52820.0,30.2,C,East,0
46.0,75144.0,169.7,A,North,1
45.0,77560.0,55.14,C,East,1
33.0,32563.0,-19.79,B,North,0
33.0,23020.0,16.47,C,South,0
35.0,44049.0,-125.26,B,North,0
43.0,89734.0,19.63,C,West,1
52.0,68093.0,192.31,A,West,1
46.0,72582.0,232.23,C,North,1
,,37.52,,East,0
36.0,37920.0,-12.0,A,South,0
43.0,63483.0,58.7,B,South,0
52.0,101135.0,151.2,A,West,1
44.0,89417.0,143.76,A,East,1
37.0,36734.0,40.92,A,East,0
,,-21.5,,South,1
43.0,61554.0,-70.86,C,West,0
34.0,39512.0,-141.3,C,East,0
40.0,33749.0,189.43,B,North,0
56.0,111826.0,220.0,A,East,1
36.0,46634.0,-152.06,C,West,0
43.0,53458.0,117.16,B,North,0
29.0,20000.0,-60.05,A,South,0
42.0,86343.0,-26.68,B,East,1
36.0,30478.0,66.75,A,East,0
34.0,27853.0,20.71,A,North,0
44.0,77489.0,78.63,A,West,1
44.0,61976.0,11.0,A,North,0
26.0,20000.0,-224.27,B,West,0
45.0,93887.0,171.37,A,North,1
42.0,92367.0,-127.79,A,South,1
34.0,20000.0,94.0,B,South,0
37.0,41144.0,23.72,C,North,0
43.0,58003.0,93.6,C,West,0
42.0,61503.0,42.43,C,West,1
45.0,44522.0,262.16,C,East,0
26.0,20000.0,-18.98,C,East,0
41.0,39523.0,165.08,B,East,0
47.0,93264.0,223.84,B,West,1
36.0,20000.0,179.34,A,South,0
30.0,28283.0,-153.36,A,West,0
46.0,77361.0,61.99,A,South,1
32.0,34439.0,-159.57,A,North,0
24.0,20000.0,-274.19,C,North,0
46.0,84777.0,195.23,C,South,1
,,-229.3,,East,0
38.0,51846.0,-29.15,A,West,0
26.0,20000.0,-115.71,C,South,0
42.0,43459.0,161.2,B,West,0
43.0,84586.0,-70.31,B,West,1
50.0,84153.0,145.16,C,West,1
46.0,70045.0,240.17,B,East,1
47.0,74805.0,102.76,B,North,1
39.0,26349.0,214.81,B,East,0
31.0,33482.0,-137.78,C,East,0
46.0,72625.0,186.53,B,North,1
49.0,72931.0,148.81,C,South,1
48.0,61290.0,119.32,C,North,1
39.0,48914.0,6.57,B,East,0
40.0,53037.0,42.94,B,West,0
36.0,42777.0,-53.44,A,South,0
30.0,20000.0,17.53,C,North,0
44.0,76539.0,167.57,A,East,1
44.0,92929.0,46.98,C,West,1
41.0,49050.0,84.34,C,North,0
43.0,53929.0,112.52,C,North,0
44.0,70525.0,128.78,A,North,1
46.0,67341.0,93.9,C,East,0
43.0,77248.0,-17.49,A,South,1
45.0,79852.0,32.18,C,West,1
44.0,82610.0,43.43,B,West,1
36.0,43209.0,-47.65,B,West,0
30.0,20000.0,20.71,C,North,0
43.0,87432.0,47.81,B,West,1
,,-32.62,,East,1
48.0,88606.0,90.92,C,West,1
41.0,47749.0,105.1,C,South,0
45.0,66669.0,177.45,A,East,1
42.0,86868.0,-83.97,B,South,1
42.0,54389.0,19.99,A,East,0
48.0,94925.0,86.16,A,East,1
46.0,109235.0,0.09,A,South,1
42.0,66918.0,17.47,A,North,1
46.0,84471.0,163.26,A,East,1
55.0,90130.0,230.75,C,East,1
49.0,59367.0,270.44,C,West,0
47.0,82091.0,280.83,B,West,1
,,-26.54,,East,0
34.0,32956.0,-26.04,A,West,0
46.0,71832.0,85.79,C,East,1
31.0,26861.0,-39.4,A,East,1
34.0,38265.0,-123.73,B,South,0
44.0,85487.0,88.97,C,East,1
,,11.82,,North,0
,,119.34,,West,1
42.0,64381.0,-89.83,B,West,0
57.0,98178.0,245.43,B,West,1
31.0,20000.0,76.26,B,North,0
34.0,39066.0,-109.2,B,North,0
44.0,80191.0,137.74,C,North,1
45.0,74641.0,72.81,C,West,1
44.0,74495.0,144.76,B,North,1
41.0,106298.0,-160.55,A,East,1
43.0,84935.0,-18.27,B,South,1
28.0,21550.0,-108.7,B,East,0
44.0,84967.0,12.0,B,South,1
45.0,48700.0,224.97,B,East,0
44.0,94505.0,23.37,C,South,1
42.0,58347.0,50.81,C,East,0
56.0,94582.0,224.62,A,West,1
45.0,68905.0,21.97,B,West,0
44.0,62226.0,86.65,C,West,0
35.0,33074.0,12.69,A,North,0
,,-217.04,,North,0
37.0,28165.0,114.1,C,West,0
44.0,52548.0,174.23,C,South,0
39.0,44027.0,46.5,C,South,0
52.0,78553.0,172.49,B,East,1
45.0,70505.0,168.56,B,West,1
46.0,69122.0,181.84,B,North,1
40.0,62534.0,6.97,A,North,1
43.0,56268.0,74.94,A,West,1
50.0,82480.0,109.31,A,East,1
45.0,71581.0,88.13,C,South,1
34.0,33775.0,5.43,A,West,0
44.0,92982.0,1.09,A,North,1
26.0,22497.0,-319.74,A,North,0
44.0,50290.0,171.1,C,West,0
48.0,84125.0,93.47,B,South,1
45.0,61595.0,178.22,B,East,1
40.0,41380.0,128.57,B,West,0
26.0,21457.0,-253.08,A,East,0
43.0,50732.0,143.13,C,East,0
39.0,51310.0,-31.2,B,West,0
54.0,113713.0,167.53,B,West,1
,,-59.73,,North,0
49.0,73970.0,145.13,B,West,1
,,183.29,,West,0
33.0,29338.0,-14.02,B,East,0
45.0,76346.0,138.37,A,East,1
46.0,73147.0,74.88,A,East,1
45.0,88587.0,99.71,A,South,1
43.0,57048.0,46.65,B,East,1
,,-287.22,,West,0
42.0,54746.0,100.1,B,South,0
50.0,90859.0,124.81,C,West,1
41.0,48360.0,99.73,C,West,0
44.0,60608.0,86.53,C,South,0
,,206.95,,North,1
45.0,103044.0,43.86,C,South,1
36.0,43349.0,-139.22,B,North,0
31.0,28687.0,-69.57,C,South,0
51.0,83865.0,158.4,C,South,0
36.0,42666.0,-51.86,A,South,0
45.0,62804.0,76.24,B,South,1
43.0,66024.0,55.14,A,North,1
40.0,55053.0,-74.12,B,South,0
45.0,83969.0,108.6,B,East,1
46.0,80237.0,181.35,A,North,1
36.0,35734.0,36.54,B,North,0
44.0,90548.0,47.16,B,North,1
48.0,71965.0,153.38,B,North,0
38.0,47976.0,-3.88,A,South,0
25.0,20000.0,-207.37,C,West,0
35.0,26774.0,48.42,C,South,0
42.0,86338.0,-106.58,A,West,1
48.0,102167.0,59.52,A,West,1
39.0,55135.0,-131.73,A,South,0
44.0,62350.0,70.42,A,South,1
43.0,84053.0,12.93,A,West,1
36.0,22428.0,125.3,B,West,0
47.0,73671.0,105.48,A,North,1
44.0,68328.0,57.54,A,South,1
43.0,67712.0,70.22,C,South,1
35.0,38949.0,-35.43,C,East,0
46.0,108086.0,28.41,C,South,1
43.0,62201.0,64.36,A,North,1
33.0,37292.0,-96.86,B,East,0
,,42.05,,West,1
43.0,49374.0,83.23,A,West,1
43.0,80850.0,20.34,A,South,1
44.0,92127.0,24.57,A,North,1
35.0,41693.0,-88.95,C,West,0
43.0,88936.0,-13.64,B,West,1
47.0,65026.0,334.3,A,East,1
42.0,71506.0,-0.07,A,North,1
44.0,86415.0,45.32,B,West,1
37.0,30025.0,97.98,A,North,0
33.0,32424.0,-74.74,B,West,0
42.0,46717.0,153.89,B,West,0
42.0,81261.0,-123.4,C,South,1
42.0,44857.0,149.73,C,East,0
49.0,95600.0,109.8,A,East,1
47.0,65641.0,173.37,B,West,0
33.0,29890.0,-25.89,B,East,0
46.0,74560.0,292.23,C,East,1
43.0,60583.0,-12.89,A,West,0
41.0,75550.0,-156.7,A,East,1
50.0,84107.0,104.79,C,North,1
43.0,36321.0,277.55,B,West,0
48.0,81842.0,104.47,B,North,1
36.0,31876.0,53.45,C,East,0
47.0,69119.0,277.01,B,East,1
38.0,47040.0,-73.86,C,North,0
28.0,32350.0,-332.86,A,North,0
45.0,68776.0,105.34,A,North,1
35.0,44077.0,-143.94,A,South,0
19.0,20000.0,-297.96,C,North,0
43.0,58520.0,60.01,C,West,0
48.0,80752.0,95.8,C,East,1
33.0,25203.0,18.36,C,East,0
44.0,70405.0,148.81,A,East,1
39.0,41965.0,78.1,A,West,0
46.0,55352.0,219.61,B,South,0
50.0,61564.0,310.04,C,East,0
27.0,21039.0,-189.43,B,North,0
46.0,75997.0,259.21,A,East,1
44.0,59329.0,139.4,A,North,0
,,-0.33,,East,1
48.0,67033.0,211.34,C,North,0
47.0,60032.0,124.36,C,North,1
44.0,65271.0,72.23,B,East,0
43.0,72113.0,50.22,C,West,1
47.0,73059.0,88.52,A,West,1
43.0,96092.0,-77.19,C,South,1
45.0,93358.0,43.77,B,South,1
40.0,35625.0,152.07,B,East,0
55.0,94009.0,207.43,C,North,1
41.0,53279.0,25.27,A,South,0
42.0,40407.0,197.49,B,East,0
,,19.03,,South,0
25.0,20000.0,-135.41,B,North,0
44.0,73957.0,120.18,C,South,1
37.0,46095.0,-91.51,A,West,0
41.0,82868.0,-163.4,B,South,1
50.0,88081.0,167.59,C,West,1
46.0,54232.0,87.59,C,South,1
45.0,77114.0,70.36,A,East,1
45.0,77701.0,72.63,A,North,1
,,26.91,,East,0
40.0,40045.0,149.46,B,East,0
,,-314.09,,East,0
46.0,70611.0,216.28,B,East,1
48.0,61064.0,225.05,B,West,0
39.0,39085.0,98.69,A,East,0
46.0,72127.0,77.64,B,West,0
31.0,20000.0,-7.87,B,West,0
39.0,53744.0,-15.41,B,East,0
44.0,69174.0,101.32,B,South,1
44.0,90569.0,82.44,A,West,1
39.0,49740.0,-13.23,A,South,0
45.0,88091.0,125.45,B,East,1
40.0,48343.0,54.22,A,West,0
44.0,70122.0,-119.43,B,West,0
45.0,40373.0,309.98,B,West,0
,,34.58,,South,1
45.0,79175.0,38.55,B,West,1
43.0,79324.0,20.77,B,East,1
46.0,84036.0,148.53,A,South,1
45.0,82619.0,90.04,A,West,1
42.0,67531.0,-227.84,C,East,0
54.0,97271.0,172.6,C,North,1
44.0,45525.0,232.35,B,East,0
44.0,53112.0,73.84,A,North,1
39.0,51774.0,-82.71,A,West,0
50.0,91327.0,131.87,C,North,1
32.0,26237.0,-2.54,C,North,0
27.0,21770.0,-248.03,A,East,0
50.0,100547.0,97.7,B,West,1
46.0,54183.0,227.15,C,South,0
44.0,62125.0,78.54,C,North,0
20.0,20000.0,-341.28,A,West,0
38.0,39296.0,73.61,B,South,0
32.0,29658.0,-55.18,B,North,0
43.0,73651.0,-15.09,C,West,1
41.0,41364.0,169.46,B,East,0
45.0,90300.0,141.02,B,East,1
52.0,90345.0,160.65,A,West,1
46.0,78273.0,70.64,A,South,0
44.0,75015.0,171.31,B,East,1
44.0,81034.0,121.84,C,South,1
20.0,20000.0,-346.32,C,South,0
38.0,39980.0,68.57,A,East,0
52.0,69965.0,186.08,B,West,1
41.0,45452.0,117.63,B,North,0
,,86.17,,East,0
41.0,38829.0,170.5,A,North,0
43.0,78607.0,-12.15,B,West,1
,,-276.79,,South,1
41.0,54474.0,32.24,C,South,0
33.0,32369.0,-61.63,C,North,0
35.0,24537.0,71.11,A,North,0
44.0,78919.0,168.85,B,East,1
47.0,77286.0,93.13,B,West,1
32.0,29753.0,-65.88,A,South,0
47.0,77192.0,92.9,C,East,1
48.0,87160.0,98.2,C,West,1
28.0,24988.0,-250.33,B,East,0
34.0,27884.0,3.51,C,North,0
42.0,101133.0,-234.07,B,North,1
45.0,68194.0,147.32,B,East,1
39.0,65004.0,-43.38,C,East,1
32.0,30116.0,-60.85,A,South,0
45.0,86714.0,3.84,C,South,1
44.0,68442.0,35.93,C,North,1
43.0,52779.0,139.97,A,South,0
44.0,52577.0,151.62,A,North,0
34.0,23250.0,73.28,C,South,0
43.0,80191.0,2.33,A,East,1
48.0,67172.0,143.41,C,North,1
33.0,20856.0,32.69,C,East,0
46.0,72279.0,255.2,C,South,1
54.0,99825.0,169.19,C,East,1
33.0,39168.0,-152.69,A,North,0
43.0,79914.0,-23.76,B,North,1
48.0,58009.0,136.17,B,West,1
46.0,82174.0,83.63,B,North,1
37.0,40031.0,8.83,C,West,0
40.0,37566.0,159.43,C,East,0
33.0,20000.0,51.54,C,West,0
46.0,83743.0,38.71,B,North,1
36.0,40866.0,-43.91,C,West,0
45.0,72555.0,77.59,A,West,1
47.0,69929.0,34.65,B,North,0
18.0,20000.0,-377.9,B,East,0
45.0,70042.0,23.7,A,North,0
36.0,37106.0,15.5,B,South,0
43.0,83044.0,122.99,A,South,1
52.0,103306.0,163.31,C,South,1
44.0,77472.0,6.84,C,West,1
44.0,76450.0,32.4,C,South,1
45.0,86562.0,33.47,C,South,1
,,-234.65,,East,0
52.0,92834.0,171.49,A,West,1
56.0,94588.0,209.83,C,West,1
42.0,45998.0,151.85,B,West,0
44.0,59838.0,105.04,A,West,0
46.0,70163.0,8.06,A,North,0
36.0,39295.0,53.85,B,South,0
40.0,49105.0,66.96,C,West,0
45.0,88216.0,114.2,B,West,1
45.0,87212.0,72.89,A,North,1
44.0,52181.0,166.53,A,North,0
,,-21.66,,North,0
41.0,49359.0,94.95,A,East,0
53.0,80723.0,207.35,C,North,1
33.0,31097.0,-34.32,C,West,0
46.0,67307.0,274.48,B,North,1
38.0,46482.0,-33.01,A,South,0
33.0,35602.0,-51.03,B,North,0
37.0,40358.0,35.76,C,South,0
45.0,69404.0,-47.54,C,West,0
44.0,61674.0,156.8,A,West,1
37.0,40563.0,15.02,A,South,0
47.0,71245.0,97.83,B,South,1
32.0,24051.0,80.91,C,East,0
48.0,76685.0,331.6,B,South,1
31.0,33926.0,-228.46,A,North,0
43.0,62805.0,-60.69,C,East,0
,,-113.61,,East,0
26.0,20000.0,-215.11,C,West,0
44.0,60372.0,52.28,A,North,1
,,-219.88,,East,0
48.0,92645.0,67.05,A,West,1
49.0,85161.0,124.0,B,West,1
38.0,41528.0,58.73,C,East,0
51.0,81052.0,167.86,C,West,1
42.0,89429.0,-62.12,A,North,1
44.0,83228.0,52.89,C,North,1
44.0,61159.0,89.92,C,East,0
35.0,39605.0,-71.35,A,West,0
44.0,69053.0,75.97,B,West,1
39.0,37946.0,128.77,C,South,0
42.0,72635.0,43.99,C,North,1
44.0,89279.0,14.79,C,North,1
34.0,37507.0,-127.95,B,South,0
41.0,60187.0,-84.8,B,East,0
46.0,61734.0,127.39,C,West,1
51.0,106057.0,101.7,A,North,1
46.0,78135.0,238.31,C,South,1
38.0,43155.0,34.56,A,West,0
38.0,47087.0,26.22,B,West,0
